,label,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11
0,FRENTE,0.0,0.0,0.5758620689655173,-0.041379310344827586,0.25517241379310346,0.27586206896551724,0.2896551724137931,0.593103448275862,-0.21379310344827587,0.2103448275862069,1.0,0.1206896551724138
0,FRENTE,0.0,0.0,0.578397212543554,-0.041811846689895474,0.2578397212543554,0.2787456445993031,0.2961672473867596,0.5958188153310104,-0.21951219512195122,0.21254355400696864,1.0,0.11846689895470383
0,FRENTE,0.0,0.0,0.5763888888888888,-0.04513888888888889,0.2604166666666667,0.2777777777777778,0.2986111111111111,0.59375,-0.21875,0.21180555555555555,1.0,0.11458333333333333
0,FRENTE,0.0,0.0,0.578397212543554,-0.041811846689895474,0.2613240418118467,0.28222996515679444,0.29965156794425085,0.5993031358885017,-0.2229965156794425,0.20905923344947736,1.0,0.11498257839721254
0,FRENTE,0.0,0.0,0.578397212543554,-0.041811846689895474,0.26480836236933797,0.28222996515679444,0.29965156794425085,0.5993031358885017,-0.2229965156794425,0.20905923344947736,1.0,0.11498257839721254
0,FRENTE,0.0,0.0,0.5778546712802768,-0.04152249134948097,0.25951557093425603,0.28027681660899656,0.2975778546712803,0.5951557093425606,-0.2179930795847751,0.21107266435986158,1.0,0.11418685121107267
0,FRENTE,0.0,0.0,0.5724137931034483,-0.041379310344827586,0.2517241379310345,0.2793103448275862,0.29310344827586204,0.593103448275862,-0.21379310344827587,0.21379310344827587,1.0,0.11724137931034483
0,FRENTE,0.0,0.0,0.5709342560553633,-0.04152249134948097,0.2491349480968858,0.28719723183391005,0.28719723183391005,0.5986159169550173,-0.21453287197231835,0.2041522491349481,1.0,0.11764705882352941
0,FRENTE,0.0,0.0,0.5763888888888888,-0.03125,0.2465277777777778,0.3194444444444444,0.28125,0.6145833333333334,-0.2152777777777778,0.19791666666666666,1.0,0.125
0,FRENTE,0.0,0.0,0.573943661971831,-0.03169014084507042,0.24295774647887325,0.2852112676056338,0.2746478873239437,0.6056338028169014,-0.21830985915492956,0.20422535211267606,1.0,0.14084507042253522
0,FRENTE,0.0,0.0,0.5795053003533569,-0.0353356890459364,0.254416961130742,0.2791519434628975,0.2862190812720848,0.6007067137809188,-0.22614840989399293,0.21201413427561838,1.0,0.13427561837455831
